Source_Name,RA_deg,DEC_deg,Total_flux_mJy,Peak_flux_mJy
ILTJ161830.81+531244.1,244.62837,53.21228,1.2134,0.9511
ILTJ161830.24+534700.9,244.62598,53.78360,1.7815,1.1427
ILTJ161830.18+531107.2,244.62575,53.18534,7.5133,5.2504
ILTJ161827.82+533951.8,244.61593,53.66439,1.5229,1.2980
ILTJ161827.32+533055.4,244.61383,53.51540,1.1086,0.9684
ILTJ161827.39+532058.4,244.61413,53.34956,0.8877,0.3625
ILTJ161826.69+531646.7,244.61123,53.27964,1.1655,0.7855
ILTJ161826.59+533519.6,244.61079,53.58879,1.3154,0.4817
ILTJ161823.00+532427.3,244.59583,53.40760,38.1901,2.8163
ILTJ161825.21+531423.0,244.60506,53.23975,1.2949,0.6366
ILTJ161825.13+525410.8,244.60473,52.90302,1.7813,1.3859
ILTJ161825.06+530331.0,244.60441,53.05862,1.7696,0.9255
ILTJ161824.88+530537.9,244.60368,53.09389,3.2323,2.1675
ILTJ161824.68+532714.2,244.60281,53.45396,1.7121,1.1606
ILTJ161824.48+533422.4,244.60199,53.57291,5.4814,3.9923
ILTJ161824.74+531834.3,244.60309,53.30954,2.1039,1.3980
ILTJ161824.48+532925.7,244.60199,53.49049,0.8322,0.6248
ILTJ161824.55+525628.3,244.60228,52.94120,1.1359,0.8610
ILTJ161823.74+525646.0,244.59893,52.94611,40.8115,12.9704
ILTJ161824.14+533614.6,244.60060,53.60407,0.7334,0.4104
ILTJ161822.21+531741.7,244.59255,53.29492,2.0317,0.3261
ILTJ161822.27+530507.0,244.59279,53.08528,2.4115,1.0921
ILTJ161821.37+531111.8,244.58905,53.18663,1.6932,0.8988
ILTJ161820.29+534232.6,244.58453,53.70908,3.9756,2.3102
ILTJ161820.60+525847.6,244.58585,52.97989,1.5309,1.0935
ILTJ161819.54+534529.3,244.58140,53.75814,0.8929,0.5377
ILTJ161818.83+534940.4,244.57846,53.82792,4.0489,3.1771
ILTJ161818.89+524958.2,244.57871,52.83284,3.5483,1.2015
ILTJ161818.95+524808.3,244.57897,52.80231,0.9343,0.6269
ILTJ161817.65+535357.7,244.57354,53.89937,0.5181,0.5186
ILTJ161817.61+533340.8,244.57339,53.56134,1.1739,0.5966
ILTJ161816.57+535728.7,244.56905,53.95798,1.3335,1.1714
ILTJ161814.94+532558.7,244.56225,53.43298,4.0117,0.7551
ILTJ161814.65+531956.3,244.56103,53.33231,10.4359,8.1308
ILTJ161812.72+534345.9,244.55301,53.72942,5.1739,1.2937
ILTJ161811.75+532747.4,244.54898,53.46317,9.8712,7.5305
ILTJ161811.46+535452.3,244.54773,53.91454,2.5698,1.9579
ILTJ161811.57+533105.7,244.54822,53.51827,1.1884,0.7849
ILTJ161810.86+535334.7,244.54526,53.89298,13.8079,11.2787
ILTJ161811.01+532603.9,244.54586,53.43442,4.6374,0.5170
ILTJ161811.55+530930.7,244.54812,53.15855,0.9897,0.7866
ILTJ161810.32+535202.0,244.54299,53.86724,0.7780,0.6208
ILTJ161808.95+535342.7,244.53731,53.89520,0.7170,0.5462
ILTJ161809.17+530938.2,244.53822,53.16061,0.9319,0.8282
ILTJ161808.22+534726.2,244.53425,53.79063,0.9291,0.7723
ILTJ161808.00+534643.7,244.53334,53.77881,1.1520,0.7115
ILTJ161808.40+532014.4,244.53499,53.33733,1.0043,0.4876
ILTJ161807.85+531429.7,244.53272,53.24158,0.9437,0.5607
ILTJ161806.36+533246.0,244.52649,53.54612,2.2241,1.6368
ILTJ161806.19+534955.4,244.52579,53.83206,0.6679,0.5366
ILTJ161805.20+533620.8,244.52169,53.60580,0.7147,0.5257
ILTJ161804.00+534611.2,244.51667,53.76980,0.5948,0.4230
ILTJ161804.41+530546.2,244.51839,53.09618,1.0650,0.5827
ILTJ161802.82+534646.2,244.51174,53.77952,0.8207,0.7252
ILTJ161802.45+532037.3,244.51021,53.34370,1.3046,0.9887
ILTJ161801.77+535338.3,244.50737,53.89400,1.0158,0.5121
ILTJ161800.29+533435.7,244.50119,53.57660,8.8004,2.3655
ILTJ161759.17+533124.5,244.49656,53.52349,12.2193,2.9436
ILTJ161800.74+534843.7,244.50307,53.81215,0.5335,0.4730
ILTJ161801.61+525103.8,244.50669,52.85108,1.2697,0.6314
ILTJ161801.24+530411.1,244.50518,53.06977,1.0118,0.5521
ILTJ161759.93+535243.0,244.49969,53.87863,1.5521,1.1092
ILTJ161800.40+532001.4,244.50167,53.33373,1.0859,0.9233
ILTJ161800.29+532653.8,244.50122,53.44828,0.6267,0.5569
ILTJ161800.32+531537.8,244.50133,53.26051,0.6054,0.6141
ILTJ161800.54+525843.2,244.50223,52.97867,1.1214,0.5996
ILTJ161759.14+531901.8,244.49642,53.31718,2.4523,1.7080
ILTJ161758.55+531829.1,244.49397,53.30810,0.8781,0.6997
ILTJ161757.65+532842.1,244.49022,53.47837,1.1447,0.7929
ILTJ161756.91+535627.7,244.48713,53.94103,2.4058,2.1726
ILTJ161755.68+535204.7,244.48200,53.86798,0.5152,0.4780
ILTJ161755.38+534346.0,244.48074,53.72947,2.3041,1.7724
ILTJ161756.10+531653.4,244.48376,53.28151,0.5755,0.3440
ILTJ161756.00+524958.6,244.48333,52.83296,2.4438,1.4075
ILTJ161754.67+535145.8,244.47780,53.86274,1.1831,0.6622
ILTJ161753.18+525212.4,244.47157,52.87012,209.1961,103.4967
ILTJ161753.34+533305.7,244.47224,53.55159,0.5774,0.4170
ILTJ161753.18+530622.6,244.47158,53.10629,1.1728,0.8122
ILTJ161752.20+533303.5,244.46749,53.55098,2.7262,1.9614
ILTJ161751.53+534350.5,244.46470,53.73069,1.2572,0.7636
ILTJ161750.83+533616.1,244.46178,53.60448,0.8849,0.4450
ILTJ161750.20+534245.6,244.45918,53.71269,2.0531,1.3526
ILTJ161750.59+532358.0,244.46081,53.39946,1.7759,0.4681
ILTJ161749.47+533541.2,244.45612,53.59480,7.9400,6.2962
ILTJ161749.62+531830.9,244.45676,53.30858,21.8415,16.0121
ILTJ161750.03+531124.8,244.45846,53.19023,1.4798,0.7387
ILTJ161749.34+530501.3,244.45559,53.08372,1.2533,0.8817
ILTJ161747.57+533710.6,244.44819,53.61963,0.9201,0.5146
ILTJ161747.45+533912.5,244.44770,53.65350,0.5264,0.4551
ILTJ161747.13+532301.6,244.44637,53.38379,0.9275,0.6422
ILTJ161746.63+532202.8,244.44428,53.36747,1.1317,0.4247
ILTJ161745.86+534438.2,244.44110,53.74395,8.6588,6.2240
